,n_reached,eval
100000000,0.0,0.0
010000000,0.0,0.0
001000000,0.0,0.0
000100000,0.0,0.0
000010000,0.0,0.0
000001000,0.0,0.0
000000100,0.0,0.0
000000010,0.0,0.0
000000001,0.0,0.0
-100000001,0.0,1.0
0-10000001,0.0,1.0
00-1000001,0.0,1.0
000-100001,0.0,1.0
0000-10001,0.0,1.0
00000-1001,0.0,1.0
000000-101,0.0,0.0
0000000-11,0.0,0.0
-100000011,0.0,1.0
-100000101,0.0,0.0
-100001001,0.0,0.0
-100010001,0.0,0.0
-100100001,0.0,0.0
-101000001,0.0,0.0
-110000001,0.0,0.0
-1-10000011,0.0,1.0
-10-1000011,0.0,1.0
-100-100011,0.0,1.0
-1000-10011,0.0,1.0
-10000-1011,0.0,1.0
-100000-111,0.0,0.0
-1-10000111,0.0,1.0
-1-10001011,0.0,0.0
-1-10010011,0.0,0.0
-1-10100011,0.0,0.0
-1-11000011,0.0,0.0
0-10000011,0.0,1.0
0-10000101,0.0,0.0
0-10001001,0.0,0.0
0-10010001,0.0,0.0
0-10100001,0.0,0.0
0-11000001,0.0,0.0
1-10000001,0.0,0.0
0-1-1000011,0.0,1.0
0-10-100011,0.0,0.0
0-100-10011,0.0,0.0
0-1000-1011,0.0,0.0
0-10000-111,0.0,0.0
0-1-1000111,0.0,1.0
0-1-1001011,0.0,0.0
0-1-1010011,0.0,0.0
0-1-1100011,0.0,0.0
1-1-1000011,0.0,0.0
00-1000011,0.0,1.0
00-1000101,0.0,0.0
00-1001001,0.0,0.0
00-1010001,0.0,0.0
00-1100001,0.0,0.0
01-1000001,0.0,0.0
10-1000001,0.0,0.0
00-1-100011,0.0,0.0
00-10-10011,0.0,0.0
00-100-1011,0.0,0.0
00-1000-111,0.0,0.0
-10-1000111,0.0,1.0
-10-1001011,0.0,0.0
-10-1010011,0.0,0.0
-10-1100011,0.0,0.0
-11-1000011,0.0,0.0
000-100011,0.0,1.0
000-100101,0.0,0.0
000-101001,0.0,0.0
000-110001,0.0,0.0
001-100001,0.0,0.0
010-100001,0.0,0.0
100-100001,0.0,0.0
000-1-10011,0.0,0.0
000-10-1011,0.0,0.0
000-100-111,0.0,0.0
-100-100111,0.0,1.0
-100-101011,0.0,0.0
-100-110011,0.0,0.0
-101-100011,0.0,0.0
-110-100011,0.0,0.0
0000-10011,0.0,1.0
0000-10101,0.0,0.0
0000-11001,0.0,0.0
0001-10001,0.0,0.0
0010-10001,0.0,0.0
0100-10001,0.0,0.0
1000-10001,0.0,0.0
0000-1-1011,0.0,0.0
0000-10-111,0.0,0.0
-1000-10111,0.0,1.0
-1000-11011,0.0,0.0
-1001-10011,0.0,0.0
-1010-10011,0.0,0.0
-1100-10011,0.0,0.0
00000-1011,0.0,1.0
00000-1101,0.0,0.0
00001-1001,0.0,0.0
00010-1001,0.0,0.0
00100-1001,0.0,0.0
01000-1001,0.0,0.0
10000-1001,0.0,0.0
00000-1-111,0.0,0.0
-10000-1111,0.0,1.0
-10001-1011,0.0,0.0
-10010-1011,0.0,0.0
-10100-1011,0.0,0.0
-11000-1011,0.0,0.0
000000-111,0.0,0.0
000001-101,0.0,0.0
000010-101,0.0,0.0
000100-101,0.0,0.0
001000-101,0.0,0.0
010000-101,0.0,0.0
100000-101,0.0,0.0
-100001-111,0.0,0.0
-100010-111,0.0,0.0
-100100-111,0.0,0.0
-101000-111,0.0,0.0
-110000-111,0.0,0.0
-1-10001-111,0.0,0.0
-10-1001-111,0.0,0.0
-100-101-111,0.0,0.0
-1000-11-111,0.0,0.0
-1-10011-111,0.0,0.0
-1-10101-111,0.0,0.0
-1-11001-111,0.0,0.0
-1-1-1011-111,0.0,0.0
-1-10-111-111,0.0,0.0
